Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
19.6,0,Red,691,6.1,39.4,0.761,0.8227,53880,1018063,0.023409315,4887755.102
23.4,0,Red,94,6.4,35.8,0.873,0.5782,90920,128052,0.016424949,756410.2564
13.8,0,Swing,925,5.8,38.7,0.766,0.688,63250,1110871,0.019364814,7028985.507
16.9,0,Red,438,4.3,38.6,0.769,0.5374,51810,678452,0.021263125,3076923.077
7.7,0,Blue,4997,5.7,37.8,0.716,0.7435,77030,5430081,0.007768765,40194805.19
12.6,0,Blue,794,3.3,37.6,0.834,0.4105,80610,796984,0.012843013,5563492.063
5.3,0,Blue,483,5.3,40.9,0.828,0.8235,88230,678916,0.013986672,3566037.736
12.1,0,Blue,133,4.6,41.8,0.797,0.3128,69910,194810,0.00441542,925619.8347
12,0,Swing,2630,5.1,42.7,0.763,0.405,59100,82181,0.011929238,21325000
14.1,0,Swing,1299,5.7,37.5,0.764,0.485,61450,4201879,0.016374891,10269503.55
3.6,0,Blue,168,3.1,40.7,0.841,0.5893,78090,1879302,0.0048456,1527777.778
14.7,0,Red,243,3.8,37.3,0.836,0.7433,62490,267568,0.026519514,1680272.109
9.5,0,Blue,1570,6.1,39.2,0.796,0.6971,73130,292667,0.009454914,12842105.26
12.7,0,Red,1014,4.6,38.2,0.813,0.4008,62930,2314192,0.015069766,6661417.323
7.8,0,Red,402,3.6,38.8,0.851,0.6186,73660,1496775,0.009826421,3166666.667
11.4,0,Red,372,3.9,37.5,0.831,0.5456,66410,664912,0.0120308,2894736.842
15.2,0,Red,707,5.2,39.4,0.781,0.6044,51310,501278,0.013935816,4565789.474
20.4,0,Red,634,6,38.1,0.729,0.5874,55590,1002541,0.0172725,4666666.667
9.8,0,Blue,203,4,44.8,0.866,0.2599,61440,1056533,0.008537569,1469387.755
11.9,0,Blue,756,4.6,39.6,0.8,0.1673,89090,314332,0.015903476,5949579.832
3,0,Blue,1008,4.4,40.1,0.827,0.7483,82150,1029325,0.004849718,7100000
11.7,0,Swing,1373,4.9,40.2,0.824,0.6098,65610,1184423,0.004803735,9948717.949
7.4,0,Swing,777,3.8,38.9,0.869,0.8418,83200,1979472,0.010511429,5540540.541
19.6,0,Red,394,6.4,38.5,0.72,0.922,48460,941170,0.008013372,3005102.041
18.1,0,Red,823,4.5,39.2,0.811,0.6345,71660,605790,0.009674566,6044198.895
19.2,0,Red,157,4.3,40.2,0.869,0.6257,62210,1269953,0.01198642,1067708.333
8.9,0,Red,253,3,37.3,0.836,0.3809,73200,222399,0.008402864,1898876.404
14.9,0,Swing,387,6.3,38.9,0.747,0.8884,62960,331868,0.021411233,2993288.591
8.9,0,Blue,227,3,43.3,0.885,0.6998,91600,549151,0.016962223,1359550.562
5.4,0,Blue,1107,5,40.3,0.793,0.6097,82750,267078,0.006208522,8796296.296
18.6,0,Blue,309,6.5,39,0.709,0.4205,54620,1757377,0.042551077,2096774.194
4.2,0,Blue,2638,4.8,39.9,0.756,0.2702,70210,369807,0.003447067,20214285.71
12.5,0,Swing,1459,5.4,39.2,0.787,0.5199,61490,3615023,0.011858805,10312000
12.8,0,Red,94,3,35.8,0.866,0.7147,69500,1785510,0.011300174,718750
11.9,0,Swing,1778,4.9,39.7,0.823,0.6283,64520,135670,0.011522386,11739495.8
18,0,Red,548,4.4,37.1,0.799,0.6034,56990,2664823,0.014841841,3922222.222
11.4,0,Blue,666,5,40.3,0.832,0.6139,73640,808375,0.01143542,4263157.895
11.4,0,Swing,1803,5.3,40.9,0.819,0.3438,73100,654930,0.017301669,13026315.79
4.7,0,Blue,170,5.6,40.6,0.796,0.6067,67430,3174802,0.003736039,1085106.383
17.3,0,Red,644,5.4,40.3,0.776,0.7697,56120,204295,0.013903501,4913294.798
11.1,0,Red,110,2.8,37.9,0.851,0.595,66660,977099,0.013862281,864864.8649
16,0,Red,988,4.9,39.1,0.783,0.3959,57290,175958,0.012011312,6718750
11.7,0,Red,3127,4.5,35.5,0.718,0.4759,68360,1482137,0.014727644,27376068.38
12.8,0,Red,417,3.5,31.9,0.855,0.6428,80200,4425654,0.026922899,2867187.5
9.6,0,Blue,101,3.3,43.2,0.872,0.5808,72020,421822,0.005758629,729166.6667
10.9,0,Blue,1203,4,39,0.812,0.9837,74430,127127,0.030906455,8678899.083
9.8,0,Blue,1062,5.4,38.3,0.839,0.5927,81400,1399157,0.009339618,7326530.612
14,0,Red,301,6.4,42.8,0.791,0.6708,51840,1127649,0.011791727,1985714.286
10.4,0,Swing,824,4.2,40.4,0.847,0.4151,67090,529290,0.008435706,5894230.769
19.6,0,Red,85,4.7,39.2,0.864,0.6175,73750,1223628,0.21538492,576530.6122
21.5,1,Red,677,5.7,39.3,0.767,0.8127,56660,1011236,0.02768423,4865116.279
23.3,1,Red,91,6.7,35.8,0.833,0.5982,90860,133928,0.017690887,759656.6524
