Year,State,Type,"Death_Rate (per 100,000)",Deaths,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High school education,Population,Registered_Firearms
2015,Alabama,Red,19.6,958,691,6.1,39.4,0.761,0.8227,53880,1018063,4887755.102,2340.931524
2015,Alaska,Red,23.4,177,94,6.4,35.8,0.873,0.5782,90920,128052,756410.2564,1642.494915
2015,Arizona,Swing,13.8,970,925,5.8,38.7,0.766,0.688,63250,1110871,7028985.507,1936.481443
2015,Arkansas,Red,16.9,520,438,4.3,38.6,0.769,0.5374,51810,678452,3076923.077,2126.3125
2015,California,Blue,7.7,3095,4997,5.7,37.8,0.716,0.7435,77030,5430081,40194805.19,776.8765106
2015,Colorado,Blue,12.6,701,794,3.3,37.6,0.834,0.4105,80610,796984,5563492.063,1284.301284
2015,Connecticut,Blue,5.3,189,483,5.3,40.9,0.828,0.8235,88230,678916,3566037.736,1398.667196
2015,Delaware,Blue,12.1,112,133,4.6,41.8,0.797,0.3128,69910,194810,925619.8347,441.5419643
2015,Florida,Swing,12,2559,2630,5.1,42.7,0.763,0.405,59100,82181,21325000,1192.923798
2015,Georgia,Swing,14.1,1448,1299,5.7,37.5,0.764,0.485,61450,4201879,10269503.55,1637.489088
2015,Hawaii,Blue,3.6,55,168,3.1,40.7,0.841,0.5893,78090,1879302,1527777.778,484.5599999
2015,Idaho,Red,14.7,247,243,3.8,37.3,0.836,0.7433,62490,267568,1680272.109,2651.951417
2015,Illinois,Blue,9.5,1220,1570,6.1,39.2,0.796,0.6971,73130,292667,12842105.26,945.4913937
2015,Indiana,Red,12.7,846,1014,4.6,38.2,0.813,0.4008,62930,2314192,6661417.323,1506.976596
2015,Iowa,Red,7.8,247,402,3.6,38.8,0.851,0.6186,73660,1496775,3166666.667,982.6421052
2015,Kansas,Red,11.4,330,372,3.9,37.5,0.831,0.5456,66410,664912,2894736.842,1203.08
2015,Kentucky,Red,15.2,694,707,5.2,39.4,0.781,0.6044,51310,501278,4565789.474,1393.581556
2015,Louisiana,Red,20.4,952,634,6,38.1,0.729,0.5874,55590,1002541,4666666.667,1727.25
2015,Maine,Blue,9.8,144,203,4,44.8,0.866,0.2599,61440,1056533,1469387.755,853.7569445
2015,Maryland,Blue,11.9,708,756,4.6,39.6,0.8,0.1673,89090,314332,5949579.832,1590.347599
2015,Massachusetts,Blue,3,213,1008,4.4,40.1,0.827,0.7483,82150,1029325,7100000,484.971831
2015,Michigan,Swing,11.7,1164,1373,4.9,40.2,0.824,0.6098,65610,1184423,9948717.949,480.3734536
2015,Minnesota,Swing,7.4,410,777,3.8,38.9,0.869,0.8418,83200,1979472,5540540.541,1051.142927
2015,Mississippi,Red,19.6,589,394,6.4,38.5,0.72,0.922,48460,941170,3005102.041,801.3371816
2015,Missouri,Red,18.1,1094,823,4.5,39.2,0.811,0.6345,71660,605790,6044198.895,967.4565814
2015,Montana,Red,19.2,205,157,4.3,40.2,0.869,0.6257,62210,1269953,1067708.333,1198.641952
2015,Nebraska,Red,8.9,169,253,3,37.3,0.836,0.3809,73200,222399,1898876.404,840.2863908
2015,Nevada,Swing,14.9,446,387,6.3,38.9,0.747,0.8884,62960,331868,2993288.591,2141.123318
2015,New Hampshire,Blue,8.9,121,227,3,43.3,0.885,0.6998,91600,549151,1359550.562,1696.222314
2015,New Jersey,Blue,5.4,475,1107,5,40.3,0.793,0.6097,82750,267078,8796296.296,620.8522105
2015,New Mexico,Blue,18.6,390,309,6.5,39,0.709,0.4205,54620,1757377,2096774.194,4255.107691
2015,New York,Blue,4.2,849,2638,4.8,39.9,0.756,0.2702,70210,369807,20214285.71,344.7067139
2015,North Carolina,Swing,12.5,1289,1459,5.4,39.2,0.787,0.5199,61490,3615023,10312000,1185.880528
2015,North Dakota,Red,12.8,92,94,3,35.8,0.866,0.7147,69500,1785510,718750,1130.017391
2015,Ohio,Swing,11.9,1397,1778,4.9,39.7,0.823,0.6283,64520,135670,11739495.8,1152.238583
2015,Oklahoma,Red,18,706,548,4.4,37.1,0.799,0.6034,56990,2664823,3922222.222,1484.184136
2015,Oregon,Blue,11.4,486,666,5,40.3,0.832,0.6139,73640,808375,4263157.895,1143.541975
2015,Pennsylvania,Swing,11.4,1485,1803,5.3,40.9,0.819,0.3438,73100,654930,13026315.79,1730.166869
2015,Rhode Island,Blue,4.7,51,170,5.6,40.6,0.796,0.6067,67430,3174802,1085106.383,373.6039216
2015,South Carolina,Red,17.3,850,644,5.4,40.3,0.776,0.7697,56120,204295,4913294.798,1390.350118
2015,South Dakota,Red,11.1,96,110,2.8,37.9,0.851,0.595,66660,977099,864864.8649,1386.228125
2015,Tennessee,Red,16,1075,988,4.9,39.1,0.783,0.3959,57290,175958,6718750,1201.131163
2015,Texas,Red,11.7,3203,3127,4.5,35.5,0.718,0.4759,68360,1482137,27376068.38,1472.764439
2015,Utah,Red,12.8,367,417,3.5,31.9,0.855,0.6428,80200,4425654,2867187.5,2692.289918
2015,Vermont,Blue,9.6,70,101,3.3,43.2,0.872,0.5808,72020,421822,729166.6667,575.8628571
2015,Virginia,Blue,10.9,946,1203,4,39,0.812,0.9837,74430,127127,8678899.083,3090.645454
2015,Washington,Blue,9.8,718,1062,5.4,38.3,0.839,0.5927,81400,1399157,7326530.612,933.9618385
2015,West Virginia,Red,14,278,301,6.4,42.8,0.791,0.6708,51840,1127649,1985714.286,1179.172662
2015,Wisconsin,Swing,10.4,613,824,4.2,40.4,0.847,0.4151,67090,529290,5894230.769,843.5706362
2015,Wyoming,Red,19.6,113,85,4.7,39.2,0.864,0.6175,73750,1223628,576530.6122,21538.49204
2016,Alabama,Red,21.5,1046,677,5.7,39.3,0.767,0.8127,56660,1011236,4865116.279,2768.42304
2016,Alaska,Red,23.3,177,91,6.7,35.8,0.833,0.5982,90860,133928,759656.6524,1769.0887
2016,Arizona,Swing,15.2,1094,934,5.3,38.7,0.746,0.718,68510,1105497,7197368.421,2018.070932
